[2019-11-21 11:20:18,819] INFO Got user-level KeeperException when processing sessionid:0x16e8cf0afba001c type:setData cxid:0x678 zxid:0x114e txntype:-1 reqpath:n/a Error Path:/config/topics/contactus Error:KeeperErrorCode = NoNode for /config/topics/contactus (org.apache.zookeeper.server.PrepRequestProcessor)
[2019-11-21 11:21:51,356] INFO Accepted socket connection from /0:0:0:0:0:0:0:1:61147 (org.apache.zookeeper.server.NIOServerCnxnFactory)
[2019-11-21 11:21:51,366] INFO Client attempting to establish new session at /0:0:0:0:0:0:0:1:61147 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-11-21 11:21:51,370] INFO Established session 0x16e8cf0afba001d with negotiated timeout 30000 for client /0:0:0:0:0:0:0:1:61147 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-11-21 11:21:51,957] INFO Processed session termination for sessionid: 0x16e8cf0afba001d (org.apache.zookeeper.server.PrepRequestProcessor)
[2019-11-21 11:21:51,959] INFO Closed socket connection for client /0:0:0:0:0:0:0:1:61147 which had sessionid 0x16e8cf0afba001d (org.apache.zookeeper.server.NIOServerCnxn)
[2019-11-21 11:22:02,877] INFO Accepted socket connection from /127.0.0.1:61197 (org.apache.zookeeper.server.NIOServerCnxnFactory)
[2019-11-21 11:22:02,884] INFO Client attempting to establish new session at /127.0.0.1:61197 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-11-21 11:22:02,886] INFO Established session 0x16e8cf0afba001e with negotiated timeout 30000 for client /127.0.0.1:61197 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-11-21 11:22:02,924] INFO Processed session termination for sessionid: 0x16e8cf0afba001e (org.apache.zookeeper.server.PrepRequestProcessor)
[2019-11-21 11:22:02,926] INFO Closed socket connection for client /127.0.0.1:61197 which had sessionid 0x16e8cf0afba001e (org.apache.zookeeper.server.NIOServerCnxn)
[2019-11-21 11:22:13,699] INFO Got user-level KeeperException when processing sessionid:0x16e8cf0afba001c type:setData cxid:0x6bb zxid:0x118f txntype:-1 reqpath:n/a Error Path:/consumers/kafka-node-group/offset/contactus/0 Error:KeeperErrorCode = NoNode for /consumers/kafka-node-group/offset/contactus/0 (org.apache.zookeeper.server.PrepRequestProcessor)
[2019-11-21 11:22:13,702] INFO Got user-level KeeperException when processing sessionid:0x16e8cf0afba001c type:create cxid:0x6bc zxid:0x1190 txntype:-1 reqpath:n/a Error Path:/consumers/kafka-node-group/offset/contactus Error:KeeperErrorCode = NoNode for /consumers/kafka-node-group/offset/contactus (org.apache.zookeeper.server.PrepRequestProcessor)
